name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source
Disruptive Recall,General,You can disrupt an enemy caster's spells to fuel your own arcane power.,"Spell recall class feature, Spellcraft 5 ranks.",,"When you use a melee attack to successfully disrupt an arcane spellcaster's spell, you can immediately use your spell recall class feature to regain a magus spell you have already cast. This ability functions as if you had expended a number of points from your arcane pool equal to the level of the spell you disrupted, up to the maximum level spell you can cast.",,,Ultimate Combat
Distance Thrower,Combat,You are accurate with thrown weapons at longer ranges than normal.,Str 13.,,"With a thrown weapon, you reduce your penalty on ranged attack rolls due to range by 2.",,,Ultimate Combat
Djinni Spin,Combat,"You can surround yourself with the power of the storm, spinning like a hurricane to unleash a violent blast of electrical energy.","Con 15, Wis 17, Djinni Style, Djinni Spirit, Elemental Fist**, Improved Unarmed Strike, base attack bonus +13 or monk level 11th.","Djinni Style, Djinni Spirit, Elemental Fist, Improved Unarmed Strike","While using Djinni Style, as a standard action you can spend two Elemental Fist (Advanced Player's Guide 158) attempts to surround yourself with a whirlwind of electrified air. Creatures adjacent to you take your unarmed strike damage plus the electricity damage from your Elemental Fist and are deafened for 1d4 rounds. A successful Fortitude save (DC 10 + 1/2 your character level + your Wis modifier) reduces the damage by half and prevents a target from being deafened.",,,Ultimate Combat
Djinni Spirit,Combat,"By calling upon the spirits of storms, you can manipulate lightning to protect yourself and buffet your enemies with peals of thunder.","Con 15, Wis 15, Djinni Style, Elemental Fist**, Improved Unarmed Strike, base attack bonus +11 or monk level 9th.","Djinni Style, Elemental Fist, Improved Unarmed Strike","You gain one additional Elemental Fist (Advanced Player's Guide 158) attempt per day. While using Djinni Style, you gain electricity resistance equal to your base attack bonus or monk level, whichever is higher. While denied your Dexterity bonus to AC you are also denied this resistance. Creatures that take electricity damage from your Elemental Fist attack must succeed at a Fortitude save (DC 10 + 1/2 your character level + your Wis modifier) or be deafened for 1d4 rounds. Those who take damage from your Djinni Spin are deafened, even on a successful saving throw.",,,Ultimate Combat
Djinni Style,Combat,"Your hands sheathed in an auras of lightning, you move like the wind.","Con 13, Wis 15, Elemental Fist**, Improved Unarmed Strike, base attack bonus +9 or monk level 5th.","Elemental Fist, Improved Unarmed Strike","You gain one additional Elemental Fist (Advanced Player's Guide 158) attempt per day. While you are in this style you must use Elemental Fist to deal electricity damage and you gain a bonus on electricity damage rolls equal to your Wisdom bonus. Further, while you are using this style and have remaining Elemental Fist attempts, you also gain a +2 dodge bonus to Armor Class against attacks of opportunity. A condition that makes you lose your Dexterity bonus to AC also makes you lose this dodge bonus.",,,Ultimate Combat
Domain Strike,Combat,You unleash a domain power upon your enemy as part of your unarmed strike.,"Domain class feature, Improved Unarmed Strike.",Improved Unarmed Strike,"When you gain this feat, choose one domaingranted power that you can use to affect no more than one opponent. If you make a successful unarmed strike against an opponent, in addition to dealing your unarmed strike damage, you can use a swift action to deliver the effects of the chosen granted power to that opponent. Doing so provokes no attacks of opportunity.",,"You can take this feat multiple times. Each time you take it, you apply it to a different qualifying domain power.",Ultimate Combat
Double Bane,General,You extend your bane effect to two weapons.,"Bane class feature, Two-Weapon Fighting.",Two-Weapon Fighting,"You can apply your bane to a second weapon you are wielding. While your bane class feature is active, at the start of each of your turns as a free action, you choose whether to apply the ability to one weapon or the other, or both. For each round you apply your bane class feature to two weapons, you expend 2 rounds of that feature.",,,Ultimate Combat
Drag Down,Combat,"When you are knocked prone, you are skilled at bringing your opponent down with you.","Int 13, Combat Expertise, Improved Trip.","Combat Expertise, Improved Trip","Whenever an opponent successfully trips you, you can attempt to trip that opponent as an immediate action.",,,Ultimate Combat
Dragon Ferocity,Combat,"You attack with the strength of a dragon, your telling blows striking fear into your enemies.","Str 15, Improved Unarmed Strike, Dragon Style, Stunning Fist, Acrobatics 5 ranks.","Improved Unarmed Strike, Dragon Style, Stunning Fist","While using Dragon Style, you gain a bonus on unarmed strike damage rolls equal to half your Strength bonus. When you score a critical hit or a successful Stunning Fist attempt against an opponent while using this style, that opponent is also shaken for a number of rounds equal to 1d4 + your Strength bonus.",,"Taking this feat allows you to qualify for the Elemental Fist feat (Advanced Player's Guide 158) even if you do not meet that feat's prerequisites. If you do not meet that feat's prerequisites, you must choose one of the damage types that feat offers, and you can use only that damage type with your Elemental Fist attacks until you meet the feat's normal prerequisites. A monk with this feat can use Elemental Fist as if he were a monk of the four winds (Advanced Player's Guide 112).",Ultimate Combat
Dragon Roar,Combat,The spirit of the dragon wells up inside you and bursts forth in a mighty roar.,"Str 15, Improved Unarmed Strike, Dragon Style, Stunning Fist, Acrobatics 8 ranks.","Improved Unarmed Strike, Dragon Style, Stunning Fist","You gain one additional Stunning Fist attempt per day. While using Dragon Style, as a standard action you can expend two Stunning Fist attempts to unleash a concussive roar in a 15-foot cone. Creatures caught in the cone take your unarmed strike damage and become shaken for 1d4 rounds. A successful Will save (DC 10 + 1/2 your character level + your Wis modifier) reduces the damage by half and prevents a target from being shaken.",,"If you have the Elemental Fist feat (Advanced Player's Guide 158), you can expend a daily use of that feat to deal your Elemental Fist damage to those caught in the cone. This damage is not halved even on a save.",Ultimate Combat
